age,gender,income,education,subscription_length,number_of_complaints,number_of_referrals,number_of_payments,payment_method,email_open_rate,email_click_rate,social_media_followers,social_media_engagement_rate,website_visits,app_usage,time_spent_reading,article_category_1,article_category_2,article_category_3,article_category_4,article_category_5,article_category_6,article_category_7,article_category_8,article_category_9,article_category_10,article_category_11,article_category_12,article_category_13,churn
54,male,25207,graduate school,5,3,4,5,debit card,0.2013191429338954,0.6153518149453303,3001,0.3883125752349208,32,58,76,0.8197463804529359,0.3473409809119392,0.9736818152210929,0.49150692538387675,0.18262142931096415,0.9046878073241709,0.39810382534535516,0.7752846034316818,0.17045150850040736,0.8331949324487217,0.287721722076157,0.30363208139148556,0.4571154380647402,0
79,female,62424,college,6,7,5,11,credit card,0.34320604350863293,0.07463540803871593,6049,0.6811893060193233,100,24,60,0.696056409633849,0.8598996332696521,0.004674354996455188,0.07095597075533688,0.07381643434920693,0.4765937598719978,0.3551758250052106,0.6750309536173663,0.09620171054210214,0.6771874728296869,0.6264089954886998,0.06186511370878789,0.4318485495357429,0
63,male,60854,graduate school,18,2,8,11,online payment,0.22113203660870262,0.18697804642247073,9730,0.9552028309905869,42,19,372,0.7855290275151894,0.6502878909087587,0.33151279135468537,0.11224172233572371,0.9764151036109794,0.4616048616843218,0.32567938279032915,0.5860910804406624,0.17309520850945626,0.6524172310770464,0.3852560342411663,0.17509246175662596,0.13967310968588642,1
22,male,77266,high school,5,4,10,1,online payment,0.7826594658531785,0.14165931779962881,6094,0.22347806330608044,55,98,523,0.5978374425852928,0.1213286884315048,0.8569226564714166,0.19715979129570427,0.6524728715187588,0.18528587660957696,0.8742066031421888,0.2049510017152122,0.6852460187070435,0.985616042767827,0.2903104050439249,0.15009939044921805,0.12728203776250335,1
35,female,83320,high school,8,7,5,8,debit card,0.34814785349865573,0.350846520280949,2897,0.9578510413315832,88,4,328,0.05507049618733584,0.6434094722726114,0.3095815135416794,0.916186979192663,0.46094737746361836,0.6850947343866862,0.10464390901908038,0.10782655120360263,0.6686075241824289,0.9440756394302774,0.8215148258749194,0.3074019591383217,0.9554153167159746,1
33,female,98012,college,21,3,8,9,online payment,0.8364076843126742,0.791554030336374,8162,0.9504683966688412,48,71,503,0.572320027333581,0.004761959122781878,0.05302208686347354,0.1377912582308174,0.9228288699415628,0.8766751432270388,0.559066440083512,0.6355367758471707,0.7666486275137909,0.958014642730693,0.07235427396799277,0.39103654523771003,0.8473845922506446,0
47,male,76278,graduate school,6,9,2,7,credit card,0.5699994942608497,0.865151428124958,1801,0.8949582029163049,20,35,454,0.5838319959668736,0.5886165525933131,0.7803456153512942,0.7547285399415284,0.4350631909477811,0.7339793350146853,0.6213673647825376,0.7552423834002197,0.03792578908373745,0.8886520968419691,0.6641775911799713,0.029265089493278218,0.8589163913971557,0
38,female,75395,high school,5,9,4,9,debit card,0.7998879018426984,0.3805676438204635,6612,0.5533701905842563,100,62,323,0.5126279808912783,0.15501196947090623,0.03445383971664251,0.08744765345674754,0.7070400693784009,0.5194351669563717,0.3817472435725078,0.6384421038550581,0.35264289281764005,0.22361514506315594,0.32826384211305093,0.0875756890642142,0.6359374034389063,1
63,female,52679,high school,21,2,6,7,online payment,0.6695834604658789,0.5196020577374529,2300,0.2411433152170256,4,60,187,0.33039000804673335,0.8758376924674421,0.13274273392527514,0.19511514492054716,0.7537997407744004,0.8753354155950095,0.1623622392126124,0.7916208137577492,0.4349374369473116,0.8175752458947236,0.9370296238273763,0.8818819479326533,0.8782269525768225,0
30,male,64724,high school,21,3,4,6,online payment,0.7110109765040351,0.2422529426967307,6725,0.7218696753205569,18,24,581,0.4145406755851826,0.9351216971129942,0.7622382869904538,0.7868452633348202,0.020112371799867024,0.5811580688723913,0.15058563554722226,0.39434969978970824,0.18358570718203404,0.9675138848251679,0.22708127770487563,0.4560676649396238,0.13813204211875774,0
74,male,40236,college,8,3,7,11,credit card,0.13673548224704746,0.6366831298401502,9534,0.7051774714533332,97,20,181,0.07315083203064432,0.8517269271174701,0.683472352870371,0.4288555715893211,0.8210186577882705,0.253955628568555,0.7868023006745322,0.4642417818503848,0.2204234201927302,0.46403714945964436,0.10992362401467337,0.5224941836032311,0.4809202283273424,1
29,female,67542,high school,20,10,5,1,online payment,0.18484481772630235,0.5917718560124017,1085,0.5114450517597493,65,26,446,0.6566651835308348,0.780734345820161,0.5337475030709322,0.7044327090238081,0.6121620530173837,0.03337403150278906,0.281396638206418,0.4260254479510023,0.4668651721780458,0.1249294670023875,0.4178528521955919,0.8165688431883869,0.33190071270798094,1
47,female,84099,college,5,4,2,11,credit card,0.1434677388370147,0.19224355006277682,4082,0.6729633207672736,18,11,203,0.05736115469064418,0.028824518239928265,0.06668775588865372,0.36198148963173493,0.6520275833132041,0.32070845805335646,0.4139201572157014,0.6115259400578101,0.6640587927977136,0.20500888693787533,0.19376201754156963,0.7380109622319565,0.4138213811517508,0
40,male,57471,high school,17,7,10,3,online payment,0.06358280174161524,0.773314221981281,3357,0.4831200740774727,60,21,44,0.3663003686051335,0.04765470897824842,0.09948643168959903,0.32216576950819653,0.4598572417742456,0.4296725535919689,0.8205949089891493,0.23811331401807423,0.5463306665389054,0.12664828471051415,0.48527718432697164,0.24033585669465463,0.42309883335677756,0
24,female,24430,college,10,3,9,4,online payment,0.9253215325446791,0.5033654045807777,9757,0.41607201383976,7,4,309,0.8224612140790983,0.8483751419965103,0.14437439731696278,0.353076619964402,0.4151238403370172,0.9160939911098367,0.10942987318340403,0.7202404981548494,0.7293309247897879,0.5432183764308262,0.13263172466512618,0.10897749412643232,0.03236347253791516,0
55,female,98743,high school,24,10,1,1,debit card,0.6547563851604163,0.9516014550390817,2119,0.9349638246080452,15,73,378,0.3980781507851431,0.22956159553388256,0.09876600257689117,0.8155968336448586,0.2608653357055025,0.7970479968579879,0.4681828643711372,0.39327429891063537,0.5195148071193599,0.09395926649322262,0.4434499240295674,0.5912892524554366,0.5405295791821814,0
36,female,95750,graduate school,9,9,2,5,debit card,0.226266781978267,0.9294515411022954,6191,0.05636828640944158,92,54,378,0.1660776144638879,0.13398206242417843,0.15671724841131007,0.3245935887515131,0.053050544958944235,0.9874901350978718,0.10610642409669546,0.13940102123621767,0.9682853322726955,0.012038204572190625,0.2308923701355995,0.2593239789266899,0.0023202526995582673,0
74,female,41188,graduate school,20,9,4,2,debit card,0.9916788049472045,0.9412980944364556,8389,0.2181908143036838,99,22,280,0.43056746854443817,0.08181709988422958,0.8870791087704267,0.03271555608693666,0.6896794095815315,0.5156400470532947,0.33520156232628495,0.16627981197713526,0.3188287528690438,0.3534735210822776,0.7637822540548663,0.11019732328667531,0.23653848050836168,1
62,female,67409,high school,4,8,7,10,online payment,0.4562969331506458,0.7976038357469372,8212,0.22116029106074564,24,59,167,0.45401296571072325,0.25478578214142933,0.06466178433173508,0.08624259211381735,0.9127746669426171,0.3530078604325356,0.8053010368933982,0.37802652928175695,0.17996551472392108,0.9348644149967865,0.2124142179352736,0.06239764264017367,0.1397717466044469,1
44,male,43489,graduate school,22,5,4,12,online payment,0.8480855776571735,0.8887034548376828,1710,0.8616816529664654,92,0,190,0.0038429480859120124,0.49525929337228336,0.09719764138015097,0.9107650373954266,0.24337054171423145,0.8050291848215864,0.9962988594646587,0.908980396593443,0.8546057962301553,0.6935761754542764,0.6173009138244685,0.21869755802821,0.12382789397603788,0
30,male,92946,high school,17,7,10,12,online payment,0.8191421999126737,0.2110868223693546,2368,0.7772151822264424,96,95,453,0.2205558527514716,0.4202799960960274,0.7570298145368601,0.3885010146018527,0.9622079144760641,0.4061080506164447,0.9648432133963939,0.19761878176321346,0.3595929960379539,0.030732297631094196,0.6681040225248466,0.7417115145438532,0.5226560495290206,1
